Entity,Code,Year,Primary energy consumption (TWh)
Australia,AUS,1965,425.76
Australia,AUS,1966,446.10153
Australia,AUS,1967,473.09302
Australia,AUS,1968,501.69376
Australia,AUS,1969,522.4283
Australia,AUS,1970,570.1016
Australia,AUS,1971,598.8076
Australia,AUS,1972,626.09503
Australia,AUS,1973,669.3559
Australia,AUS,1974,711.90106
Australia,AUS,1975,723.9002
Australia,AUS,1976,749.0882
Australia,AUS,1977,785.9685
Australia,AUS,1978,811.2209
Australia,AUS,1979,841.29144
Australia,AUS,1980,844.24695
Australia,AUS,1981,857.7939
Australia,AUS,1982,849.91943
Australia,AUS,1983,841.57153
Australia,AUS,1984,871.3554
Australia,AUS,1985,896.29315
Australia,AUS,1986,912.41125
Australia,AUS,1987,937.53815
Australia,AUS,1988,981.3143
Australia,AUS,1989,1029.7129
Australia,AUS,1990,1051.0793
Australia,AUS,1991,1043.9398
Australia,AUS,1992,1060.4203
Australia,AUS,1993,1084.4427
Australia,AUS,1994,1125.5515
Australia,AUS,1995,1154.299
Australia,AUS,1996,1188.1368
Australia,AUS,1997,1217.2881
Australia,AUS,1998,1246.3304
Australia,AUS,1999,1297.3473
Australia,AUS,2000,1305.2595
Australia,AUS,2001,1315.3853
Australia,AUS,2002,1341.7451
Australia,AUS,2003,1360.8623
Australia,AUS,2004,1404.4441
Australia,AUS,2005,1410.3502
Australia,AUS,2006,1470.8379
Australia,AUS,2007,1506.167
Australia,AUS,2008,1531.7455
Australia,AUS,2009,1509.5446
Australia,AUS,2010,1508.8379
Australia,AUS,2011,1558.6024
Australia,AUS,2012,1536.113
Australia,AUS,2013,1555.5862
Australia,AUS,2014,1566.4581
Australia,AUS,2015,1601.6259
Australia,AUS,2016,1606.889
Australia,AUS,2017,1602.0281
Australia,AUS,2018,1625.9082
Australia,AUS,2019,1680.2927
Australia,AUS,2020,1585.412
Australia,AUS,2021,1589.323
Australia,AUS,2022,1660.7898
Australia,AUS,2023,1657.3767
Australia,AUS,2024,1672.1141